"Date","P_I","EU_H","C_H","SO_I","CFNAI","CFNAI_MA3","DIFFUSION"
"1967/03","-0.38","-0.07","-0.04","-0.02","-0.5","NaN","NaN"
"1967/04","0.21","-0.26","-0.01","-0.12","-0.17","NaN","NaN"
"1967/05","-0.62","0.11","-0.06","-0.11","-0.67","-0.45","-0.22"
"1967/06","-0.16","0.1","0.08","-0.03","-0.01","-0.28","-0.2"
"1967/07","-0.28","0.2","-0.07","-0.19","-0.35","-0.34","-0.25"
"1967/08","0.85","0.42","-0","0.28","1.55","0.4","0.12"
"1967/09","-0.1","-0.07","0.13","-0.12","-0.16","0.35","0.1"
"1967/10","0.29","-0.05","-0.11","-0.09","0.04","0.47","0.16"
"1967/11","0.78","0.77","0.12","0.45","2.12","0.66","0.19"
"1967/12","0.51","0.31","0.16","0.42","1.4","1.19","0.5"
"1968/01","-0.17","-0.53","-0.03","-0.09","-0.82","0.9","0.41"
"1968/02","0.17","0.72","0.04","-0.1","0.84","0.47","0.31"
"1968/03","0.09","0.09","0.19","0.08","0.45","0.16","0.22"
"1968/04","0.05","0.41","-0.02","-0.02","0.41","0.57","0.36"
"1968/05","0.52","0.27","0.05","0.12","0.95","0.61","0.37"
"1968/06","0.04","0.2","0.11","0.07","0.42","0.6","0.32"
"1968/07","-0.18","0.23","0.11","0.16","0.31","0.56","0.31"
"1968/08","0.18","0.29","0.06","-0.32","0.21","0.31","0.24"
"1968/09","0.06","0.25","-0.05","0.35","0.62","0.38","0.31"
"1968/10","0.17","0.38","0.11","0.24","0.89","0.57","0.47"
"1968/11","0.62","0.41","0.14","0.08","1.25","0.92","0.58"
"1968/12","0.01","0.35","-0.03","-0.13","0.2","0.78","0.52"
"1969/01","0.27","0.16","0.14","-0.06","0.51","0.66","0.49"
"1969/02","0.27","0.46","0.11","0.04","0.88","0.53","0.44"
"1969/03","0.38","0.35","-0.04","0.11","0.81","0.73","0.56"
"1969/04","-0.34","0.22","0.07","0.15","0.1","0.6","0.44"
"1969/05","-0.24","0.25","0.11","-0.06","0.06","0.32","0.3"
"1969/06","0.37","0.4","-0.03","0","0.74","0.3","0.24"
"1969/07","0.27","0.07","-0.03","-0","0.3","0.37","0.26"
"1969/08","-0.01","0.39","0.09","0.25","0.72","0.59","0.31"
"1969/09","-0.12","-0.33","0.06","0.08","-0.32","0.23","0.1"
"1969/10","-0.08","0.18","0.05","0.2","0.36","0.25","0.07"
"1969/11","-0.64","-0.14","-0.06","-0.3","-1.14","-0.37","-0.17"
"1969/12","-0.26","0.1","-0.02","-0.1","-0.29","-0.36","-0.16"
"1970/01","-1.14","-0.49","-0.04","-0.36","-2.03","-1.15","-0.44"
"1970/02","-0.12","-0.11","0.02","-0.06","-0.27","-0.86","-0.37"
"1970/03","-0.21","-0.12","-0.1","-0.31","-0.74","-1.02","-0.48"
"1970/04","-0.27","-0.71","0","-0.22","-1.21","-0.74","-0.45"
"1970/05","-0.23","-0.71","0.06","0.11","-0.77","-0.91","-0.52"
"1970/06","-0.26","-0.45","0.04","0.08","-0.59","-0.86","-0.47"
