year,citizens,permanentresidents,nonresidents
1990,"2623736","112132","311264"
1991,"2664625","130079","340379"
1992,"2702430","147324","380944"
1993,"2742826","161720","408924"
1994,"2784168","175182","459698"
1995,"2823707","189808","510991"
1996,"2860419","207712","602572"
1997,"2894794","228608","672635"
1998,"2929731","250287","747195"
1999,"2958379","271302","729042"
2000,"2985886","287477","754524"
2001,"3017092","308810","812110"
2002,"3043397","339547","793006"
2003,"3032541","334350","747935"
2004,"3057087","356179","753398"
2005,"3081001","386813","797948"
2006,"3107924","417970","875471"
2007,"3133848","449234","1,005517"
2008,"3164438","478221","1,196737"
2009,"3200693","533183","1,253697"
2010,"3230719","541002","1,305011"
2011,"3257228","532023","1,394437"
2012,"3285140","533065","1,494232"
2013,"3313507","531244","1,554411"
2014,"3343030","527709","1,598985"
2015,"3375023","527667","1,632312"
2016,"3408943","524616","1,673724"
2017,"3439177","526619","1,646457"
